,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
546,12965,62141,0.0,0.0,23.240909090909092
129,18294,62138,0.0,0.0,1.6666666666666667
618,2386,62135,0.0,0.0,3.2333333333333334
324,282,62117,0.0,0.0,1.5
179,259,62109,0.0,0.0,1.7916666666666667
292,26715,62072,0.0,0.0,1.75
76,2889,62014,0.0,0.0,1.0
72,277,61999,0.0,0.0,1.0
25,305,61996,0.0,0.0,3.3333333333333335
90,2883,61991,0.0,0.0,1.0
80,2893,61982,0.0,0.0,1.0
873,11171,61971,0.0,0.0,1.1666666666666667
55,720,61970,0.0,0.0,1.0
68,2882,61970,0.0,0.0,1.0
78,2904,61970,0.0,0.0,1.0
84,2885,61970,0.0,0.0,1.0
87,2886,61970,0.0,0.0,1.0
159,721,61970,0.0,0.0,1.0
236,7513,61970,0.0,0.0,1.0
485,591,61970,0.0,0.0,1.0
626,354,61970,0.0,0.0,3.0
627,355,61970,0.0,0.0,3.0
628,351,61970,0.0,0.0,3.0
898,333,61970,0.0,0.0,1.0
914,353,61970,0.0,0.0,1.0
624,341,61967,0.0,0.0,1.0
789,9256,61961,0.0,0.0,1.0
788,9914,61878,0.0,0.0,1.0
918,345,61853,0.0,0.0,1.0
36,9850,61738,0.0,0.0,1.0
927,11370,61650,0.0,0.0,1.0
93,2884,61617,0.0,0.0,1.0
539,576,61591,0.0,0.0,1.25
226,17007,61312,0.0,0.0,1.0
1070,116,61178,0.0,0.0,2233.0499999999997
383,535,61169,0.0,0.0,1.0
1078,85,61163,0.0,0.0,2225.1499999999996
281,26342,61081,0.0,0.0,1.0
924,284,60962,0.0,0.0,11.599159663865548
1092,1886,60957,0.0,0.0,1.0
154,674,60929,0.0,0.0,1.288888888888889
373,3933,60820,0.0,0.0,1.0625
257,704,60723,0.0,0.0,4.5
2,26704,60690,0.0,0.0,1.375
630,344,60480,0.0,0.0,3.0
507,935,60475,0.0,0.0,2.0416666666666665
22,3344,60467,0.0,0.0,1.1111111111111112
463,23633,60452,0.0,0.0,2.0
46,11214,60450,0.0,0.0,1.0588235294117647
106,11320,60450,0.0,0.0,1.4
114,336,60450,0.0,0.0,1.0
115,337,60450,0.0,0.0,1.0
173,348,60450,0.0,0.0,45.0
303,393,60450,0.0,0.0,1.3333333333333335
314,692,60450,0.0,0.0,3.0
560,12676,60450,0.0,0.0,74.0
571,13250,60450,0.0,0.0,74.0
616,12670,60450,0.0,0.0,73.93333333333334
653,358,60450,0.0,0.0,46.31428571428571
654,359,60450,0.0,0.0,44.94642857142857
912,347,60450,0.0,0.0,1.0
925,283,60450,0.0,0.0,11.55952380952381
300,11353,60449,0.0,0.0,1.0
62,2890,60434,0.0,0.0,1.0
63,2902,60434,0.0,0.0,1.0
66,2896,60434,0.0,0.0,1.0
74,2903,60434,0.0,0.0,1.0
77,2895,60434,0.0,0.0,1.0
85,2860,60434,0.0,0.0,1.0
88,2894,60434,0.0,0.0,1.0
89,2887,60434,0.0,0.0,1.0
91,2888,60434,0.0,0.0,1.0
162,11301,60434,0.0,0.0,1.0
224,3932,60434,0.0,0.0,2.4
231,727,60434,0.0,0.0,1.75
358,1947,60434,0.0,0.0,1.875
436,16650,60434,0.0,0.0,1.0
464,26716,60434,0.0,0.0,1.6666666666666667
884,24413,60434,0.0,0.0,1.0
1134,22171,60434,0.0,0.0,1.0
611,12675,60431,0.0,0.0,74.0
359,220,60420,0.0,0.0,2.5
127,26720,60379,0.0,0.0,1.25
569,13249,60372,0.0,0.0,74.0
622,11379,60319,0.0,0.0,1.0
772,4624,60251,0.0,0.0,1.0
486,426,60210,0.0,0.0,1.0
632,12669,60206,0.0,0.0,74.0
429,9880,60190,0.0,0.0,1.0
133,988,60184,0.0,0.0,9.1
54,39,60126,0.0,0.0,15081.25
635,12672,59952,0.0,0.0,74.0
273,3368,59741,0.0,0.0,1.0
1051,7121,59551,0.0,0.0,3.238095238095238
348,678,59398,0.0,0.0,1.5
1076,120,59398,0.0,0.0,2222.875
221,13372,59070,0.0,0.0,3.32
128,64115,58912,0.0,0.0,1.5416666666666665
103,582,58901,0.0,0.0,1.2
17,2413,58742,0.0,0.0,1.5
9,320,58548,0.0,0.0,1.5
122,70993,57916,0.0,0.0,1.0
681,17055,57820,0.0,0.0,1.0
822,16608,57777,0.0,0.0,1.0
1083,87,57441,0.0,0.0,2229.2875
621,22959,57398,0.0,0.0,23.557692307692303
937,22957,57130,0.0,0.0,24.0
207,18290,56844,0.0,0.0,1.5
662,21530,56238,0.0,0.0,2.0
664,20496,55757,0.0,0.0,2.0
552,15946,55707,0.0,0.0,19.666666666666668
615,3013,55590,0.0,0.0,1.125
641,17043,55514,0.0,0.0,1.4285714285714286
202,2412,55430,0.0,0.0,1.4
810,22970,54665,0.0,0.0,24.699999999999996
204,11288,54385,0.0,0.0,5.0
883,11223,54037,0.0,0.0,1.0
776,20495,53884,0.0,0.0,2.0
509,17048,53798,0.0,0.0,1.0
24,232,53201,0.0,0.0,1.0
426,1296,53070,0.0,0.0,1.0
489,14503,52951,0.0,0.0,2.0625
1179,17086,52834,0.0,0.0,1.2916666666666665
28,475,52686,0.0,0.0,1.875
20,21648,52487,0.0,0.0,24.58461538461539
247,12721,51861,0.0,0.0,1.375
369,126,51746,0.0,0.0,1.0
1079,91,51743,0.0,0.0,2228.2333333333336
920,944,51617,0.0,0.0,5.2
471,26711,51474,0.0,0.0,1.1666666666666667
661,16612,51461,0.0,0.0,1.25
466,9879,51267,0.0,0.0,1.0
587,18680,51112,0.0,0.0,1.6904761904761902
305,11174,50494,0.0,0.0,1.1
209,26712,50278,0.0,0.0,1.0
278,26344,50094,0.0,0.0,1.0
428,11289,50033,0.0,0.0,1.0
307,726,49988,0.0,0.0,1.0
1187,11266,49988,0.0,0.0,1.0
472,11300,49938,0.0,0.0,1.0
857,11380,49937,0.0,0.0,1.0
363,233,49895,0.0,0.0,1.0
633,230,49895,0.0,0.0,1.0
35,234,49737,0.0,0.0,1.0
612,18663,48970,0.0,0.0,1.9166666666666667
241,17035,48854,0.0,0.0,1.1666666666666667
608,18837,48801,0.0,0.0,1.4285714285714286
710,4635,48624,0.0,0.0,1.0
1065,110,47493,0.0,0.0,2228.1500000000005
555,20899,47286,0.0,0.0,2.0
75,3594,47111,0.0,0.0,2.0
651,643,46677,0.0,0.0,2.0
386,20340,46638,0.0,0.0,2.0
1064,114,46377,0.0,0.0,2228.04
388,17038,46075,0.0,0.0,1.0
529,21489,45979,0.0,0.0,2.0
1066,113,45852,0.0,0.0,2219.8125
673,18709,45617,0.0,0.0,2.9166666666666665
198,16601,45593,0.0,0.0,1.0
134,18288,45279,0.0,0.0,2.0
559,18831,45240,0.0,0.0,1.6666666666666667
430,9822,45131,0.0,0.0,1.0
603,20888,44922,0.0,0.0,2.0
821,16636,44277,0.0,0.0,1.75
237,20306,43954,0.0,0.0,2.0
480,63627,43849,0.0,0.0,1.523809523809524
248,20576,43519,0.0,0.0,2.0
504,20503,43443,0.0,0.0,2.0
526,21495,43443,0.0,0.0,2.0
658,22903,43014,0.0,0.0,1.8333333333333333
531,16615,42889,0.0,0.0,1.0
325,3,42514,0.0,0.0,1458.8
824,18682,41845,0.0,0.0,1.0
523,21492,41501,0.0,0.0,2.0
255,16602,41456,0.0,0.0,1.4
547,16604,41370,0.0,0.0,1.0
532,18886,41285,0.0,0.0,1.0
580,18660,41141,0.0,0.0,1.4333333333333333
865,1937,40472,0.0,0.0,1.0
850,2375,39983,0.0,0.0,4.0
438,3371,39732,0.0,0.0,1.0
620,11674,39710,0.0,0.0,8.304761904761905
732,11224,39492,0.0,0.0,1.0
591,216,39482,0.0,0.0,16.0
26,11252,39476,0.0,0.0,1.0
156,725,39476,0.0,0.0,1.0
168,235,39476,0.0,0.0,1.0
868,231,39476,0.0,0.0,1.0
492,11199,39475,0.0,0.0,1.75
1193,22132,39475,0.0,0.0,1.0
861,18283,39363,0.0,0.0,1.0
280,608,39300,0.0,0.0,1.0
482,17238,38925,0.0,0.0,2.388888888888889
791,20111,38752,0.0,0.0,1.125
229,11213,38336,0.0,0.0,1.0
279,11334,38336,0.0,0.0,1.0
291,11335,38336,0.0,0.0,1.0
301,609,38336,0.0,0.0,1.0
205,43368,37950,0.0,0.0,1.5
211,22946,37933,0.0,0.0,1.3333333333333333
594,12514,37558,0.0,0.0,1.125
299,323,37385,0.0,0.0,21.428571428571427
506,17073,37313,0.0,0.0,4.0
699,16616,36796,0.0,0.0,1.0
